T_bst	T_arr	T_sll	T_dll
4.999999999810711e-06	2.000000000279556e-06	0.0	0.0
1.9999999993913775e-06	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
0.0	2.000000000279556e-06	9.999999992515995e-07	2.000000000279556e-06
9.999999992515995e-07	1.000000000139778e-06	0.0	2.000000000279556e-06
2.000000000279556e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
0.0	0.0	0.0	0.0
9.999999992515995e-07	0.0	2.000000000279556e-06	1.000000000139778e-06
2.000000000279556e-06	0.0	2.000000000279556e-06	0.0
1.000000000139778e-06	0.0	1.000000000139778e-06	4.000000000559112e-06
9.999999992515995e-07	9.999999992515995e-07	1.000000000139778e-06	1.9999999993913775e-06
3.9999999996709334e-06	2.000000000279556e-06	0.0	1.000000000139778e-06
1.000000000139778e-06	2.000000000279556e-06	1.000000000139778e-06	0.0
1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06	0.0
0.0	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
2.000000000279556e-06	1.000000000139778e-06	1.000000000139778e-06	0.0
0.0	1.000000000139778e-06	0.0	0.0
1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
0.0	0.0	1.000000000139778e-06	9.999999992515995e-07
0.0	1.000000000139778e-06	9.999999992515995e-07	1.9999999993913775e-06
2.9999999995311555e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
1.000000000139778e-06	0.0	1.000000000139778e-06	0.0
0.0	0.0	1.000000000139778e-06	0.0
2.000000000279556e-06	1.000000000139778e-06	2.000000000279556e-06	0.0
9.999999992515995e-07	9.999999992515995e-07	0.0	0.0
0.0	0.0	0.0	2.000000000279556e-06
0.0	1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06
0.0	2.000000000279556e-06	0.0	0.0
0.0	0.0	1.000000000139778e-06	0.0
1.000000000139778e-06	0.0	1.000000000139778e-06	1.000000000139778e-06
2.000000000279556e-06	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
0.0	0.0	0.0	0.0
0.0	0.0	0.0	2.000000000279556e-06
0.0	1.000000000139778e-06	0.0	1.000000000139778e-06
1.000000000139778e-06	1.000000000139778e-06	0.0	0.0
1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06	1.000000000139778e-06
2.000000000279556e-06	1.000000000139778e-06	1.000000000139778e-06	0.0
