T_bst	T_arr	T_sll	T_dll
7.152557373046875e-07	9.5367431640625e-07	9.5367431640625e-07	1.1920928955078125e-06
1.1920928955078125e-06	9.5367431640625e-07	1.1920928955078125e-06	9.5367431640625e-07
9.5367431640625e-07	9.5367431640625e-07	2.1457672119140625e-06	1.6689300537109375e-06
1.1920928955078125e-06	1.1920928955078125e-06	9.5367431640625e-07	1.1920928955078125e-06
1.1920928955078125e-06	9.5367431640625e-07	2.1457672119140625e-06	9.5367431640625e-07
9.5367431640625e-07	9.5367431640625e-07	3.0994415283203125e-06	3.814697265625e-06
7.152557373046875e-07	1.1920928955078125e-06	9.5367431640625e-07	9.5367431640625e-07
9.5367431640625e-07	1.1920928955078125e-06	1.1920928955078125e-06	9.5367431640625e-07
9.5367431640625e-07	9.5367431640625e-07	1.1920928955078125e-06	1.1920928955078125e-06
9.5367431640625e-07	9.5367431640625e-07	1.9073486328125e-06	2.1457672119140625e-06
9.5367431640625e-07	9.5367431640625e-07	2.1457672119140625e-06	9.5367431640625e-07
9.5367431640625e-07	9.5367431640625e-07	1.1920928955078125e-06	1.1920928955078125e-06
2.1457672119140625e-06	2.1457672119140625e-06	2.6226043701171875e-06	2.1457672119140625e-06
9.5367431640625e-07	9.5367431640625e-07	1.9073486328125e-06	2.86102294921875e-06
2.1457672119140625e-06	1.9073486328125e-06	3.0994415283203125e-06	4.0531158447265625e-06
2.1457672119140625e-06	1.9073486328125e-06	3.0994415283203125e-06	5.984306335449219e-05
9.5367431640625e-07	9.5367431640625e-07	1.1920928955078125e-06	9.5367431640625e-07
1.1920928955078125e-06	1.1920928955078125e-06	4.0531158447265625e-06	3.0994415283203125e-06
9.5367431640625e-07	9.5367431640625e-07	7.152557373046875e-07	9.5367431640625e-07
9.5367431640625e-07	2.1457672119140625e-06	1.9073486328125e-06	9.5367431640625e-07
1.1920928955078125e-06	2.1457672119140625e-06	1.1920928955078125e-06	9.5367431640625e-07
9.5367431640625e-07	2.1457672119140625e-06	2.1457672119140625e-06	1.9073486328125e-06
9.5367431640625e-07	1.1920928955078125e-06	1.1920928955078125e-06	9.5367431640625e-07
9.5367431640625e-07	9.5367431640625e-07	9.5367431640625e-07	2.1457672119140625e-06
9.5367431640625e-07	2.1457672119140625e-06	6.9141387939453125e-06	2.6226043701171875e-06
9.5367431640625e-07	7.152557373046875e-07	3.0994415283203125e-06	9.5367431640625e-07
1.1920928955078125e-06	9.5367431640625e-07	3.0994415283203125e-06	4.0531158447265625e-06
9.5367431640625e-07	9.5367431640625e-07	1.1920928955078125e-06	8.106231689453125e-06
2.1457672119140625e-06	7.152557373046875e-07	4.0531158447265625e-06	2.1457672119140625e-06
1.9073486328125e-06	9.5367431640625e-07	4.0531158447265625e-06	2.1457672119140625e-06
2.1457672119140625e-06	9.5367431640625e-07	2.86102294921875e-06	3.0994415283203125e-06
1.2636184692382812e-05	9.5367431640625e-07	2.86102294921875e-06	4.0531158447265625e-06
9.5367431640625e-07	9.5367431640625e-07	2.1457672119140625e-06	1.1920928955078125e-06
9.5367431640625e-07	9.5367431640625e-07	1.9073486328125e-06	2.1457672119140625e-06
