A	T_merge	T_heap
[2, 13, 0, 14, 19, 26, 23, 15, 8, 17, 10, 18, 6, 16, 7]	4.300000000001525e-05	1.399999999995849e-05
[19, 3, 25, 29, 27, 9, 6, 15, 10, 24, 12, 5, 2, 23, 0]	1.900000000021329e-05	1.8000000000073513e-05
[29, 26, 24, 9, 3, 2, 25, 8, 13, 16, 19, 5, 0, 21, 17]	3.4000000000089514e-05	2.2000000000188535e-05
[9, 20, 16, 2, 27, 19, 3, 10, 0, 4, 7, 28, 21, 26, 17]	8.999999999925734e-06	1.6999999999933735e-05
[14, 6, 3, 1, 25, 28, 26, 20, 17, 18, 15, 2, 5, 7, 12]	1.0000000000065512e-05	1.0999999999983245e-05
[27, 18, 4, 28, 22, 12, 11, 15, 0, 17, 14, 23, 29, 19, 5]	1.0999999999983245e-05	1.0000000000065512e-05
[23, 13, 29, 17, 1, 25, 14, 6, 10, 27, 16, 8, 12, 26, 11]	1.6000000000016e-05	8.000000000008e-06
[16, 15, 8, 12, 13, 28, 18, 22, 3, 10, 19, 27, 29, 14, 17]	1.1999999999900979e-05	1.0999999999983245e-05
[25, 5, 26, 11, 17, 29, 28, 19, 8, 14, 0, 20, 9, 22, 16]	1.6000000000016e-05	1.0000000000065512e-05
[25, 28, 1, 9, 11, 15, 17, 8, 3, 24, 21, 27, 4, 13, 26]	1.5000000000098268e-05	1.8999999999991246e-05
[3, 17, 9, 7, 22, 21, 12, 20, 11, 26, 28, 5, 13, 0, 19]	1.5000000000098268e-05	1.0999999999983245e-05
[28, 15, 1, 25, 18, 0, 2, 12, 20, 9, 4, 21, 14, 16, 5]	1.0999999999983245e-05	5.999999999950489e-06
[10, 29, 5, 25, 8, 12, 0, 20, 13, 22, 15, 21, 26, 19, 16]	6.999999999868223e-06	1.399999999995849e-05
[9, 24, 11, 17, 26, 23, 7, 29, 28, 21, 13, 12, 25, 2, 16]	1.0999999999983245e-05	1.399999999995849e-05
[22, 7, 18, 19, 28, 3, 6, 10, 25, 20, 29, 14, 15, 1, 4]	1.2000000000123023e-05	1.3000000000040757e-05
[18, 27, 7, 3, 2, 29, 24, 13, 15, 20, 28, 14, 23, 21, 1]	1.8000000000073513e-05	2.2999999999884224e-05
[22, 1, 9, 8, 0, 27, 10, 5, 7, 25, 14, 26, 3, 15, 2]	1.7999999999851468e-05	5.6000000000056005e-05
[15, 5, 14, 28, 4, 8, 25, 16, 7, 0, 24, 2, 17, 20, 21]	3.2000000000032e-05	3.500000000000725e-05
[20, 25, 19, 5, 9, 27, 18, 2, 26, 21, 23, 7, 1, 28, 6]	4.0000000000040004e-05	2.6999999999999247e-05
[0, 7, 10, 1, 8, 12, 24, 3, 16, 28, 13, 14, 20, 23, 25]	3.599999999992498e-05	3.0999999999892225e-05
[28, 27, 6, 16, 13, 11, 5, 14, 4, 7, 19, 15, 2, 21, 0]	2.199999999996649e-05	2.0000000000131024e-05
[22, 24, 21, 2, 19, 18, 29, 16, 7, 13, 0, 5, 17, 14, 15]	1.7999999999851468e-05	1.2999999999818712e-05
[2, 8, 20, 21, 5, 26, 16, 7, 13, 19, 14, 23, 10, 15, 24]	1.6000000000016e-05	1.8999999999991246e-05
[24, 17, 15, 21, 1, 29, 18, 16, 5, 4, 6, 11, 19, 14, 7]	1.2000000000123023e-05	1.0999999999983245e-05
[12, 28, 9, 3, 4, 6, 25, 16, 27, 1, 5, 13, 29, 20, 11]	1.1999999999900979e-05	1.7999999999851468e-05
[16, 4, 2, 1, 24, 3, 9, 23, 19, 5, 0, 12, 17, 21, 15]	1.6999999999933735e-05	1.0999999999983245e-05
[6, 18, 24, 20, 9, 19, 23, 4, 8, 16, 11, 21, 12, 3, 22]	8.000000000008e-06	1.1999999999900979e-05
[28, 8, 0, 4, 1, 23, 22, 6, 29, 10, 19, 13, 21, 9, 27]	1.0000000000065512e-05	1.1999999999900979e-05
[3, 16, 20, 5, 9, 24, 2, 19, 12, 18, 0, 29, 1, 10, 28]	1.0999999999983245e-05	1.3000000000040757e-05
[8, 25, 10, 20, 9, 29, 12, 11, 28, 2, 1, 16, 22, 5, 3]	1.0999999999983245e-05	1.0000000000065512e-05
