A	T_merge	T_heap
[8, 16, 25, 13, 26, 20, 3, 21, 27, 17, 15, 22, 18, 19, 5]	4.000000000115023e-06	2.9999999999752447e-06
[0, 24, 17, 21, 28, 15, 22, 8, 10, 26, 4, 14, 3, 18, 6]	2.0000000000575113e-06	9.999999999177334e-07
[4, 25, 20, 12, 18, 22, 21, 7, 24, 28, 9, 8, 10, 5, 17]	2.0000000000575113e-06	1.000000000139778e-06
[11, 18, 26, 28, 19, 5, 7, 9, 24, 14, 12, 17, 13, 8, 0]	1.000000000139778e-06	9.999999999177334e-07
[22, 13, 26, 8, 20, 19, 0, 24, 17, 12, 29, 16, 14, 18, 9]	2.0000000000575113e-06	9.999999999177334e-07
[23, 21, 4, 6, 1, 22, 3, 11, 16, 29, 10, 2, 13, 27, 20]	1.9999999998354667e-06	2.0000000000575113e-06
[27, 20, 6, 23, 14, 11, 8, 17, 21, 26, 19, 5, 15, 2, 18]	2.0000000000575113e-06	9.999999999177334e-07
[27, 8, 19, 10, 14, 9, 22, 12, 1, 23, 13, 15, 5, 6, 3]	9.999999999177334e-07	2.0000000000575113e-06
[27, 9, 1, 4, 11, 21, 25, 13, 3, 23, 12, 14, 24, 6, 0]	9.999999999177334e-07	2.0000000000575113e-06
[28, 23, 26, 0, 21, 2, 29, 24, 7, 25, 15, 17, 18, 5, 13]	9.999999999177334e-07	2.0000000000575113e-06
[28, 8, 20, 9, 12, 15, 0, 27, 6, 21, 2, 16, 13, 24, 4]	0.0	9.999999999177334e-07
[28, 4, 11, 24, 5, 2, 10, 15, 14, 8, 26, 9, 3, 23, 18]	9.999999999177334e-07	9.999999999177334e-07
[16, 15, 26, 13, 1, 21, 27, 5, 7, 17, 9, 4, 2, 12, 6]	1.000000000139778e-06	2.0000000000575113e-06
[13, 17, 12, 29, 21, 28, 26, 9, 16, 5, 19, 27, 2, 8, 10]	9.999999999177334e-07	2.0000000000575113e-06
[12, 9, 28, 3, 4, 17, 6, 8, 21, 11, 24, 13, 29, 20, 5]	2.0000000000575113e-06	0.0
[28, 13, 20, 3, 5, 24, 7, 9, 19, 11, 15, 1, 22, 29, 12]	9.999999999177334e-07	0.0
[20, 11, 26, 27, 7, 19, 3, 8, 17, 9, 5, 13, 14, 2, 1]	0.0	9.999999999177334e-07
[25, 17, 12, 26, 1, 18, 28, 20, 11, 29, 6, 21, 5, 24, 7]	0.0	9.999999999177334e-07
[26, 0, 24, 3, 25, 13, 18, 6, 10, 1, 19, 27, 17, 5, 28]	0.0	1.000000000139778e-06
[4, 22, 0, 27, 25, 15, 2, 20, 3, 9, 16, 19, 1, 10, 6]	0.0	0.0
[26, 21, 18, 24, 10, 29, 5, 13, 16, 17, 2, 28, 1, 22, 20]	2.0000000000575113e-06	0.0
[21, 0, 13, 17, 20, 1, 18, 5, 23, 24, 14, 27, 4, 7, 6]	0.0	0.0
[18, 21, 27, 10, 25, 1, 7, 23, 12, 15, 29, 26, 24, 19, 28]	9.999999999177334e-07	1.9999999998354667e-06
