T_merge	T_heap
6.999999641266186e-06	7.0000005507608876e-06
3.000000106112566e-06	3.000000106112566e-06
1.0000003385357559e-06	1.99999976757681e-06
1.99999976757681e-06	1.0000003385357559e-06
9.99999429041054e-07	1.0000003385357559e-06
1.99999976757681e-06	3.000000106112566e-06
9.99999429041054e-07	9.99999429041054e-07
1.99999976757681e-06	4.000000444648322e-06
1.0000003385357559e-06	3.000000106112566e-06
9.99999429041054e-07	1.99999976757681e-06
3.99999953515362e-06	2.0000006770715117e-06
1.0000003385357559e-06	2.0000006770715117e-06
2.0000006770715117e-06	1.99999976757681e-06
1.0000003385357559e-06	9.99999429041054e-07
3.000000106112566e-06	3.000000106112566e-06
1.99999976757681e-06	1.99999976757681e-06
3.0000000151630957e-05	6.999999641266186e-06
4.999999873689376e-06	9.99999429041054e-07
1.99999976757681e-06	3.000000106112566e-06
9.99999429041054e-07	1.0000003385357559e-06
9.99999429041054e-07	1.99999976757681e-06
2.0000006770715117e-06	1.0000003385357559e-06
9.99999429041054e-07	9.99999429041054e-07
1.0000003385357559e-06	1.99999976757681e-06
1.0000003385357559e-06	1.99999976757681e-06
1.99999976757681e-06	1.99999976757681e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.0000003385357559e-06	3.000000106112566e-06
1.99999976757681e-06	1.0000003385357559e-06
1.99999976757681e-06	1.0000003385357559e-06
9.99999429041054e-07	1.99999976757681e-06
1.0000003385357559e-06	9.99999429041054e-07
1.0000003385357559e-06	9.99999429041054e-07
3.199999991920777e-05	3.000000106112566e-06
1.0000003385357559e-06	3.000000106112566e-06
2.0000006770715117e-06	1.0000003385357559e-06
1.0000003385357559e-06	3.000000106112566e-06
1.0000003385357559e-06	9.99999429041054e-07
1.0000003385357559e-06	3.000000106112566e-06
1.99999976757681e-06	3.000000106112566e-06
9.99999429041054e-07	1.99999976757681e-06
1.99999976757681e-06	1.0000003385357559e-06
9.99999429041054e-07	1.0000003385357559e-06
2.0000006770715117e-06	9.99999429041054e-07
2.0000006770715117e-06	1.0000003385357559e-06
9.99999429041054e-07	1.99999976757681e-06
1.99999976757681e-06	6.000000212225132e-06
9.99999429041054e-07	1.99999976757681e-06
1.0000003385357559e-06	2.0000006770715117e-06
1.2999999853491317e-05	9.99999429041054e-07
1.99999976757681e-06	1.0000003385357559e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.0000003385357559e-06	9.99999429041054e-07
1.0000003385357559e-06	9.99999429041054e-07
9.99999429041054e-07	1.99999976757681e-06
1.0000003385357559e-06	1.0000003385357559e-06
9.99999429041054e-07	3.99999953515362e-06
1.99999976757681e-06	9.99999429041054e-07
2.0000006770715117e-06	1.99999976757681e-06
1.99999976757681e-06	1.0000003385357559e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.0000003385357559e-06	1.99999976757681e-06
1.0000003385357559e-06	2.0000006770715117e-06
9.99999429041054e-07	9.99999429041054e-07
1.0000003385357559e-06	1.99999976757681e-06
1.99999976757681e-06	1.0000003385357559e-06
1.99999976757681e-06	9.99999429041054e-07
1.99999976757681e-06	1.0000003385357559e-06
2.0000006770715117e-06	1.99999976757681e-06
9.99999429041054e-07	5.99999930273043e-06
6.999999641266186e-06	1.2999999853491317e-05
6.999999641266186e-06	9.999999747378752e-06
7.0000005507608876e-06	1.3999999282532372e-05
6.999999641266186e-06	9.000000318337698e-06
1.99999976757681e-06	1.0000003385357559e-06
4.000000444648322e-06	1.99999976757681e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.0000003385357559e-06	1.99999976757681e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.0000003385357559e-06	1.0000003385357559e-06
9.99999429041054e-07	1.99999976757681e-06
1.0000003385357559e-06	1.0000003385357559e-06
9.99999429041054e-07	9.99999429041054e-07
1.0000003385357559e-06	3.000000106112566e-06
1.99999976757681e-06	1.99999976757681e-06
9.99999429041054e-07	1.0000003385357559e-06
1.0000003385357559e-06	1.99999976757681e-06
1.99999976757681e-06	1.99999976757681e-06
1.99999976757681e-06	1.0000003385357559e-06
9.99999429041054e-07	1.0000003385357559e-06
1.99999976757681e-06	1.99999976757681e-06
1.0000003385357559e-06	1.0000003385357559e-06
9.99999429041054e-07	1.0000003385357559e-06
1.0000003385357559e-06	3.399999968678458e-05
6.000000212225132e-06	9.99999429041054e-07
1.0000003385357559e-06	3.000000106112566e-06
1.99999976757681e-06	1.0000003385357559e-06
1.0000003385357559e-06	9.99999429041054e-07
1.99999976757681e-06	3.000000106112566e-06
1.99999976757681e-06	1.99999976757681e-06
