T_merge	T_heap
7.999999979801942e-06	1.99999976757681e-06
2.0000006770715117e-06	9.99999429041054e-07
3.000000106112566e-06	4.000000444648322e-06
6.999999641266186e-06	7.999999979801942e-06
1.99999976757681e-06	1.99999976757681e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.0000003385357559e-06	3.000000106112566e-06
7.999999979801942e-06	7.999999979801942e-06
1.0000003385357559e-06	9.99999429041054e-07
9.99999429041054e-07	1.99999976757681e-06
1.99999976757681e-06	7.0000005507608876e-06
1.3999999282532372e-05	7.0000005507608876e-06
1.99999976757681e-06	3.000000106112566e-06
2.0000006770715117e-06	1.99999976757681e-06
3.99999953515362e-06	7.0000005507608876e-06
8.999999408842996e-06	7.999999979801942e-06
3.99999953515362e-06	6.000000212225132e-06
3.000000106112566e-06	1.99999976757681e-06
5.99999930273043e-06	1.0000003385357559e-06
3.000000106112566e-06	1.5999999959603883e-05
4.999999873689376e-06	3.99999953515362e-06
6.000000212225132e-06	7.999999979801942e-06
1.4999999621068127e-05	4.999999873689376e-06
1.0000000656873453e-05	1.1999999514955562e-05
4.999999873689376e-06	4.999999873689376e-06
3.000000106112566e-06	1.2000000424450263e-05
8.999999408842996e-06	9.999999747378752e-06
9.000000318337698e-06	8.999999408842996e-06
7.0000005507608876e-06	4.000000444648322e-06
4.000000444648322e-06	7.999999979801942e-06
7.999999979801942e-06	8.999999408842996e-06
9.000000318337698e-06	7.999999979801942e-06
4.999999873689376e-06	1.99999976757681e-06
6.000000212225132e-06	6.000000212225132e-06
3.000000106112566e-06	4.999999873689376e-06
5.99999930273043e-06	7.999999979801942e-06
6.000000212225132e-06	3.000000106112566e-06
3.000000106112566e-06	9.99999429041054e-07
1.99999976757681e-06	2.0000006770715117e-06
7.999999979801942e-06	9.999999747378752e-06
3.99999953515362e-06	4.000000444648322e-06
1.99999976757681e-06	3.000000106112566e-06
9.99999429041054e-07	7.999999979801942e-06
6.999999641266186e-06	9.000000318337698e-06
9.99999429041054e-07	2.0000006770715117e-06
1.99999976757681e-06	9.99999429041054e-07
3.000000106112566e-06	7.0000005507608876e-06
7.0000005507608876e-06	6.000000212225132e-06
1.700000029813964e-05	3.99999953515362e-06
9.99999429041054e-07	4.000000444648322e-06
1.0000003385357559e-06	2.999999196617864e-06
1.0000003385357559e-06	8.999999408842996e-06
3.000000106112566e-06	2.0000006770715117e-06
1.0000003385357559e-06	1.99999976757681e-06
1.0000003385357559e-06	6.000000212225132e-06
2.999999196617864e-06	6.999999641266186e-06
1.99999976757681e-06	9.99999429041054e-07
9.99999429041054e-07	9.99999429041054e-07
9.99999429041054e-07	4.000000444648322e-06
6.000000212225132e-06	7.0000005507608876e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.0000003385357559e-06	1.0000003385357559e-06
9.99999429041054e-07	4.000000444648322e-06
6.000000212225132e-06	9.999999747378752e-06
6.000000212225132e-06	1.0000003385357559e-06
1.99999976757681e-06	4.999999873689376e-06
1.99999976757681e-06	2.0000006770715117e-06
9.000000318337698e-06	9.999999747378752e-06
3.000000106112566e-06	1.0000003385357559e-06
9.99999429041054e-07	1.0000003385357559e-06
6.999999641266186e-06	4.000000444648322e-06
7.999999979801942e-06	7.999999979801942e-06
3.000000106112566e-06	1.99999976757681e-06
2.0000006770715117e-06	4.999999873689376e-06
3.000000106112566e-06	3.99999953515362e-06
7.999999979801942e-06	6.999999641266186e-06
1.99999976757681e-06	1.99999976757681e-06
4.999999873689376e-06	4.999999873689376e-06
9.99999429041054e-07	6.999999641266186e-06
9.000000318337698e-06	8.999999408842996e-06
2.0000006770715117e-06	1.0000003385357559e-06
1.99999976757681e-06	1.99999976757681e-06
2.0000006770715117e-06	6.000000212225132e-06
4.000000444648322e-06	9.000000318337698e-06
2.0000006770715117e-06	9.99999429041054e-07
1.1000000085914508e-05	2.500000027794158e-05
1.0000003385357559e-06	1.0000003385357559e-06
4.000000444648322e-06	9.000000318337698e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.99999976757681e-06	3.99999953515362e-06
1.0000003385357559e-06	1.99999976757681e-06
3.99999953515362e-06	9.000000318337698e-06
2.0000006770715117e-06	1.0000003385357559e-06
1.0000003385357559e-06	1.99999976757681e-06
1.99999976757681e-06	2.999999196617864e-06
2.0000006770715117e-06	1.1000000085914508e-05
9.99999429041054e-07	1.0000003385357559e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.99999976757681e-06	1.0000003385357559e-06
3.80000001314329e-05	9.999999747378752e-06
6.000000212225132e-06	3.000000106112566e-06
5.000000783184078e-06	9.000000318337698e-06
6.000000212225132e-06	7.0000005507608876e-06
7.999999979801942e-06	1.2999999853491317e-05
1.0000003385357559e-06	1.99999976757681e-06
1.0000003385357559e-06	2.0000006770715117e-06
1.99999976757681e-06	2.0000006770715117e-06
3.000000106112566e-06	7.999999979801942e-06
1.99999976757681e-06	1.0000003385357559e-06
4.000000444648322e-06	3.000000106112566e-06
2.0000006770715117e-06	6.000000212225132e-06
9.999999747378752e-06	8.999999408842996e-06
1.99999976757681e-06	1.0000003385357559e-06
1.0000003385357559e-06	2.0000006770715117e-06
1.0000003385357559e-06	9.99999429041054e-07
5.99999930273043e-06	9.999999747378752e-06
3.000000106112566e-06	1.99999976757681e-06
1.0000003385357559e-06	1.99999976757681e-06
3.000000106112566e-06	3.000000106112566e-06
9.000000318337698e-06	2.3999999939405825e-05
3.99999953515362e-06	3.000000106112566e-06
1.0000003385357559e-06	3.000000106112566e-06
1.0000003385357559e-06	6.000000212225132e-06
9.999999747378752e-06	4.1000000237545464e-05
3.000000106112566e-06	1.0000003385357559e-06
1.0000003385357559e-06	1.0000003385357559e-06
1.0000003385357559e-06	4.000000444648322e-06
7.999999979801942e-06	7.999999979801942e-06
1.0000003385357559e-06	1.0000003385357559e-06
9.99999429041054e-07	1.0000003385357559e-06
9.99999429041054e-07	1.0000003385357559e-06
6.999999641266186e-06	6.999999641266186e-06
2.0000006770715117e-06	1.0000003385357559e-06
1.0000003385357559e-06	2.0000006770715117e-06
9.000000318337698e-06	1.1000000085914508e-05
7.999999979801942e-06	9.000000318337698e-06
4.999999873689376e-06	1.0000000656873453e-05
3.000000106112566e-06	7.0000005507608876e-06
6.000000212225132e-06	1.1999999514955562e-05
6.999999641266186e-06	9.000000318337698e-06
3.000000106112566e-06	2.0000006770715117e-06
1.0000003385357559e-06	1.99999976757681e-06
9.000000318337698e-06	4.999999873689376e-06
7.999999979801942e-06	6.999999641266186e-06
3.000000106112566e-06	4.999999873689376e-06
3.000000106112566e-06	9.99999429041054e-07
1.0000003385357559e-06	6.999999641266186e-06
6.999999641266186e-06	7.999999979801942e-06
3.000000106112566e-06	1.99999976757681e-06
1.99999976757681e-06	3.99999953515362e-06
7.0000005507608876e-06	7.999999979801942e-06
7.999999979801942e-06	7.999999979801942e-06
2.0000006770715117e-06	1.0000003385357559e-06
