T_insertion	T_quick	T_merge	T_heap	T_combination
3.999999999892978e-06	9.999999999177334e-07	1.000000000139778e-06	9.999999999177334e-07	9.999999999177334e-07
9.999999999177334e-07	9.999999999177334e-07	1.000000000139778e-06	2.0000000000575113e-06	9.999999999177334e-07
9.999999999177334e-07	1.000000000139778e-06	9.999999999177334e-07	1.9999999998354667e-06	9.999999999177334e-07
5.999999999950489e-06	3.999999999892978e-06	2.0000000000575113e-06	2.0000000000575113e-06	2.0000000000575113e-06
4.999999999810711e-06	3.000000000419334e-06	9.999999992515995e-07	2.4000000000690136e-05	9.999999999621423e-06
1.9999999993913775e-06	9.999999992515995e-07	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
1.9999999993913775e-06	1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06	2.000000000279556e-06
4.000000000559112e-06	1.000000000139778e-06	2.000000000279556e-06	3.9999999996709334e-06	2.000000000279556e-06
5.999999999950489e-06	2.9999999995311555e-06	1.9999999993913775e-06	8.999999999481645e-06	4.000000000559112e-06
4.999999999810711e-06	2.9999999995311555e-06	3.0000000013075123e-06	2.9999999995311555e-06	3.0000000013075123e-06
2.000000000279556e-06	1.0000000010279564e-06	2.000000000279556e-06	1.999999998503199e-06	1.0000000010279564e-06
2.000000000279556e-06	1.0000000010279564e-06	1.0000000010279564e-06	9.999999992515995e-07	1.0000000010279564e-06
1.999999998503199e-06	2.000000000279556e-06	1.0000000010279564e-06	2.000000000279556e-06	9.999999992515995e-07
9.999999992515995e-07	1.0000000010279564e-06	9.999999992515995e-07	1.999999998503199e-06	9.999999992515995e-07
5.999999999062311e-06	9.000000000369823e-06	4.999999999810711e-06	4.000000000559112e-06	4.000000000559112e-06
9.999999992515995e-07	2.000000000279556e-06	2.000000000279556e-06	2.000000000279556e-06	2.000000000279556e-06
9.999999992515995e-07	2.000000000279556e-06	1.0000000010279564e-06	4.000000000559112e-06	3.0000000013075123e-06
4.999999999810711e-06	4.000000000559112e-06	4.000000000559112e-06	4.000000000559112e-06	6.000000000838668e-06
3.999999998782755e-06	4.000000000559112e-06	8.000000001118224e-06	7.000000000090267e-06	4.999999999810711e-06
4.000000000559112e-06	3.999999997006398e-06	2.9999999995311555e-06	3.999999997006398e-06	4.9999999980343546e-06
1.0000000010279564e-06	1.0000000010279564e-06	1.0000000010279564e-06	1.999999998503199e-06	1.999999998503199e-06
2.0000000020559128e-06	2.9999999995311555e-06	9.999999974752427e-07	1.100000000064938e-05	2.0000000020559128e-06
3.999999997006398e-06	1.0000000010279564e-06	2.0000000020559128e-06	4.000000000559112e-06	1.0000000010279564e-06
4.000000000559112e-06	3.999999997006398e-06	1.999999998503199e-06	4.000000000559112e-06	2.0000000020559128e-06
4.9999999980343546e-06	2.9999999995311555e-06	1.999999998503199e-06	4.000000000559112e-06	1.0000000010279564e-06
1.0000000010279564e-06	9.999999974752427e-07	1.0000000010279564e-06	3.000000003083869e-06	1.999999998503199e-06
1.0000000010279564e-06	1.0000000010279564e-06	1.0000000010279564e-06	2.0000000020559128e-06	9.999999974752427e-07
1.999999998503199e-06	9.999999974752427e-07	1.0000000010279564e-06	1.999999998503199e-06	1.999999998503199e-06
5.999999999062311e-06	1.999999998503199e-06	2.9999999995311555e-06	2.0000000020559128e-06	1.0000000010279564e-06
5.999999999062311e-06	1.999999998503199e-06	2.9999999995311555e-06	3.999999997006398e-06	2.0000000020559128e-06
2.0000000020559128e-06	9.999999974752427e-07	1.0000000010279564e-06	2.0000000020559128e-06	1.0000000010279564e-06
9.999999974752427e-07	1.0000000010279564e-06	1.0000000010279564e-06	1.0000000010279564e-06	9.999999974752427e-07
1.999999998503199e-06	9.999999974752427e-07	1.0000000010279564e-06	1.0000000010279564e-06	1.0000000010279564e-06
4.000000000559112e-06	9.999999974752427e-07	1.999999998503199e-06	2.0000000020559128e-06	1.0000000010279564e-06
4.000000000559112e-06	3.000000003083869e-06	2.9999999995311555e-06	2.9999999995311555e-06	2.0000000020559128e-06
9.999999974752427e-07	1.0000000010279564e-06	2.0000000020559128e-06	2.0000000020559128e-06	1.0000000010279564e-06
9.999999974752427e-07	2.0000000020559128e-06	1.999999998503199e-06	1.0000000010279564e-06	1.999999998503199e-06
1.999999998503199e-06	9.999999974752427e-07	9.999999974752427e-07	6.000000002615025e-06	4.000000000559112e-06
4.000000000559112e-06	2.0000000020559128e-06	2.0000000020559128e-06	1.0000000010279564e-06	9.999999974752427e-07
8.999999998593466e-06	5.999999999062311e-06	5.999999999062311e-06	2.0000000020559128e-06	7.000000000090267e-06
1.999999998503199e-06	4.9999999980343546e-06	5.999999999062311e-06	2.0000000020559128e-06	9.999999974752427e-07
1.0000000010279564e-06	2.0000000020559128e-06	2.9999999995311555e-06	2.9999999995311555e-06	2.0000000020559128e-06
5.999999999062311e-06	1.999999998503199e-06	4.000000000559112e-06	4.000000000559112e-06	2.9999999995311555e-06
