	A	len	T_insertion	T_quick	T_merge	T_heap
0	[12, 0, 19, 13, 9, 10, 18, 1, 14, 2]	10	5.999999999950489e-06	1.9999999993913775e-06	1.9999999993913775e-06	1.000000000139778e-06
1	[6, 14, 5, 1, 19, 7, 13, 8, 18, 17]	10	1.000000000139778e-06	0.0	2.000000000279556e-06	1.9999999993913775e-06
2	[13, 12, 4, 7, 3, 15, 1, 5, 18, 10]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
3	[1, 0, 6, 12, 18, 8, 2, 17, 16, 15]	10	2.000000000279556e-06	0.0	1.000000000139778e-06	2.000000000279556e-06
4	[8, 10, 6, 13, 19, 2, 16, 4, 12, 3]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
5	[8, 11, 3, 14, 1, 16, 4, 5, 19, 18]	10	9.999999992515995e-07	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
6	[5, 15, 19, 18, 13, 16, 12, 9, 8, 2]	10	1.000000000139778e-06	0.0	0.0	2.000000000279556e-06
7	[2, 19, 11, 6, 3, 5, 9, 7, 12, 8]	10	2.000000000279556e-06	1.000000000139778e-06	2.000000000279556e-06	1.9999999993913775e-06
8	[12, 2, 6, 10, 11, 9, 19, 8, 14, 3]	10	2.000000000279556e-06	2.000000000279556e-06	1.000000000139778e-06	2.000000000279556e-06
9	[6, 18, 11, 3, 8, 17, 12, 1, 19, 2]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	2.000000000279556e-06
10	[11, 3, 19, 1, 12, 5, 9, 7, 6, 4]	10	1.000000000139778e-06	1.9999999993913775e-06	1.000000000139778e-06	2.000000000279556e-06
11	[17, 8, 0, 6, 9, 11, 18, 2, 14, 7]	10	0.0	0.0	0.0	1.000000000139778e-06
12	[15, 19, 0, 7, 4, 5, 3, 1, 6, 9]	10	1.000000000139778e-06	2.000000000279556e-06	2.000000000279556e-06	1.000000000139778e-06
13	[13, 10, 2, 1, 9, 19, 14, 4, 8, 5]	10	1.000000000139778e-06	0.0	0.0	0.0
14	[9, 19, 4, 1, 2, 12, 17, 16, 15, 0]	10	0.0	1.000000000139778e-06	0.0	2.000000000279556e-06
15	[14, 7, 9, 0, 4, 18, 16, 12, 15, 3]	10	1.9999999993913775e-06	1.000000000139778e-06	4.999999999810711e-06	0.0
16	[4, 3, 15, 2, 1, 18, 14, 17, 9, 7]	10	0.0	0.0	1.000000000139778e-06	1.000000000139778e-06
17	[2, 14, 17, 11, 13, 10, 15, 8, 7, 12]	10	2.000000000279556e-06	1.000000000139778e-06	2.000000000279556e-06	1.9999999993913775e-06
18	[1, 7, 10, 12, 6, 18, 16, 14, 15, 3]	10	0.0	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
19	[12, 11, 9, 16, 14, 1, 15, 8, 7, 17]	10	9.999999992515995e-07	0.0	2.000000000279556e-06	1.000000000139778e-06
20	[16, 9, 4, 11, 0, 6, 5, 1, 10, 2]	10	2.6000000000081513e-05	0.0	0.0	1.000000000139778e-06
21	[18, 17, 12, 9, 8, 11, 15, 19, 5, 3]	10	1.9999999993913775e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
22	[9, 8, 3, 7, 5, 14, 1, 17, 0, 19]	10	1.000000000139778e-06	1.9999999993913775e-06	1.9999999993913775e-06	1.000000000139778e-06
23	[0, 1, 12, 4, 2, 10, 15, 19, 3, 8]	10	1.000000000139778e-06	1.9999999993913775e-06	1.000000000139778e-06	1.000000000139778e-06
24	[4, 16, 6, 18, 17, 2, 12, 8, 11, 9]	10	1.000000000139778e-06	1.000000000139778e-06	1.9999999993913775e-06	2.000000000279556e-06
25	[14, 11, 1, 13, 15, 4, 0, 6, 12, 5]	10	2.000000000279556e-06	9.999999992515995e-07	2.000000000279556e-06	1.000000000139778e-06
26	[2, 14, 7, 12, 9, 5, 4, 0, 19, 10]	10	9.999999992515995e-07	2.000000000279556e-06	1.000000000139778e-06	0.0
27	[3, 0, 5, 2, 7, 16, 8, 6, 13, 10]	10	0.0	1.000000000139778e-06	0.0	1.000000000139778e-06
28	[4, 3, 6, 9, 0, 7, 2, 5, 8, 17]	10	1.9999999993913775e-06	1.000000000139778e-06	2.000000000279556e-06	0.0
29	[5, 1, 19, 0, 13, 10, 4, 8, 12, 3]	10	9.999999992515995e-07	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
30	[19, 7, 4, 12, 17, 8, 16, 18, 14, 6]	10	9.999999992515995e-07	0.0	1.000000000139778e-06	1.9999999993913775e-06
31	[16, 4, 13, 15, 14, 9, 6, 5, 8, 2]	10	1.000000000139778e-06	9.999999992515995e-07	0.0	0.0
32	[0, 4, 2, 18, 6, 17, 14, 11, 16, 12]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
