	T_insertion	T_quick	T_merge	T_heap
0	5.2999999999858716e-05	9.000000000147779e-06	1.1999999999900979e-05	9.999999999843467e-06
1	9.999999999843467e-06	9.000000000147779e-06	8.999999999925734e-06	1.0000000000065512e-05
2	1.0999999999983245e-05	8.000000000008e-06	1.0000000000065512e-05	1.0000000000065512e-05
3	1.0999999999983245e-05	8.999999999925734e-06	1.2000000000123023e-05	1.5000000000098268e-05
4	1.2000000000123023e-05	1.1999999999900979e-05	1.1999999999900979e-05	1.1999999999900979e-05
5	1.1999999999900979e-05	9.999999999843467e-06	1.0999999999983245e-05	1.4999999999876223e-05
6	1.3000000000040757e-05	1.2000000000123023e-05	2.6999999999999247e-05	1.8000000000073513e-05
7	1.6999999999933735e-05	1.2000000000123023e-05	1.8000000000073513e-05	1.2000000000123023e-05
8	3.2999999999949736e-05	1.0000000000065512e-05	1.0000000000065512e-05	1.0999999999983245e-05
9	2.0000000000131024e-05	9.000000000147779e-06	9.000000000147779e-06	1.3000000000040757e-05
10	2.0999999999826713e-05	8.000000000008e-06	8.999999999925734e-06	1.1999999999900979e-05
11	1.4999999999876223e-05	1.0999999999983245e-05	1.1999999999900979e-05	2.199999999996649e-05
12	2.4000000000024002e-05	1.6999999999933735e-05	2.1000000000048757e-05	1.8000000000073513e-05
13	1.0999999999983245e-05	1.700000000015578e-05	8.999999999925734e-06	1.0999999999983245e-05
14	1.0999999999983245e-05	1.0000000000065512e-05	1.0000000000065512e-05	1.2000000000123023e-05
15	1.0999999999983245e-05	8.999999999925734e-06	1.0000000000065512e-05	1.3000000000040757e-05
16	1.2000000000123023e-05	1.0000000000065512e-05	1.0999999999983245e-05	1.5000000000098268e-05
17	1.1999999999900979e-05	9.999999999843467e-06	1.0999999999983245e-05	1.399999999995849e-05
18	1.2000000000123023e-05	8.999999999925734e-06	1.1999999999900979e-05	1.6000000000016e-05
19	2.199999999996649e-05	8.000000000008e-06	2.2000000000188535e-05	1.999999999990898e-05
20	1.999999999990898e-05	1.399999999995849e-05	2.1000000000048757e-05	6.299999999992423e-05
21	2.199999999996649e-05	1.8000000000073513e-05	3.2000000000032e-05	3.4000000000089514e-05
22	2.6999999999999247e-05	1.2000000000123023e-05	1.0000000000065512e-05	4.900000000018778e-05
23	7.399999999990747e-05	1.8000000000073513e-05	1.999999999990898e-05	2.500000000016378e-05
24	1.5000000000098268e-05	8.999999999925734e-06	9.000000000147779e-06	1.2000000000123023e-05
25	1.0000000000065512e-05	8.000000000008e-06	1.1999999999900979e-05	1.1999999999900979e-05
26	1.0000000000065512e-05	8.000000000008e-06	9.999999999843467e-06	1.0999999999983245e-05
27	2.1000000000048757e-05	1.6999999999933735e-05	1.100000000020529e-05	1.1999999999900979e-05
28	9.999999999843467e-06	7.000000000090267e-06	9.999999999843467e-06	1.2000000000123023e-05
29	1.0999999999983245e-05	7.000000000090267e-06	9.999999999843467e-06	1.0999999999983245e-05
