T_insertion	T_quick	T_merge	T_heap
7.779999577905983e-07	3.8899997889529914e-07	3.9200040191644803e-07	4.999999873689376e-06
4.029998308396898e-07	3.5999983083456755e-07	3.6300025385571644e-07	1.0000003385357559e-06
3.849991117022e-07	3.589993866626173e-07	2.939996193163097e-07	9.99999883788405e-07
3.879995347233489e-07	3.5199991543777287e-07	3.66999302059412e-07	9.99999883788405e-07
3.909999577444978e-07	3.4799995773937553e-07	3.5199991543777287e-07	9.99999883788405e-07
4.1499970393488184e-07	3.5500033845892176e-07	3.60999365511816e-07	2.000000222324161e-06
3.670002115541138e-07	3.5700031730812043e-07	3.4499953471822664e-07	2.000000222324161e-06
3.8300004234770313e-07	3.390005076653324e-07	3.3400010579498485e-07	2.000000222324161e-06
4.0699978853808716e-07	3.1699983082944527e-07	3.410004865145311e-07	1.0000003385357559e-06
3.790000846493058e-07	3.4000004234258085e-07	3.5500033845892176e-07	2.000000222324161e-06
4.0200029616244137e-07	3.4799995773937553e-07	4.3299951357766986e-07	9.99999883788405e-07
3.929999365936965e-07	3.329996616230346e-07	3.4300046536372975e-07	1.99999976757681e-06
4.3899945012526587e-07	3.4900040191132575e-07	4.029998308396898e-07	1.99999976757681e-06
3.9600035961484537e-07	3.559998731361702e-07	3.420000211917795e-07	9.99999883788405e-07
3.959994501201436e-07	3.470004230621271e-07	3.8599955587415025e-07	1.0000003385357559e-06
3.670002115541138e-07	3.010000000358559e-07	3.2200023269979283e-07	6.000000212225132e-06
5.700003384845331e-07	3.5999983083456755e-07	3.5500033845892176e-07	4.999999873689376e-06
3.9600035961484537e-07	3.5700031730812043e-07	3.379991539986804e-07	2.000000222324161e-06
3.909999577444978e-07	3.530003596097231e-07	3.420000211917795e-07	9.99999883788405e-07
3.7800054997205734e-07	3.730001481017098e-07	3.3400010579498485e-07	9.99999883788405e-07
4.0700069803278893e-07	3.229997673770413e-07	3.7199970392975956e-07	9.99999883788405e-07
3.9199949242174625e-07	3.50000846083276e-07	3.5700031730812043e-07	1.99999976757681e-06
3.880004442180507e-07	3.5199991543777287e-07	3.4900040191132575e-07	0.0
4.1000021155923605e-07	3.619998096837662e-07	3.679997462313622e-07	2.000000222324161e-06
3.929999365936965e-07	3.2600019039819017e-07	3.6300025385571644e-07	9.99999883788405e-07
3.9200040191644803e-07	3.320001269457862e-07	3.2000025385059416e-07	9.99999883788405e-07
3.839995770249516e-07	3.5499942896422e-07	3.209997885278426e-07	9.99999883788405e-07
3.8400048651965335e-07	3.3700052881613374e-07	3.6300025385571644e-07	9.99999883788405e-07
4.010007614851929e-07	3.3899959817063063e-07	3.529994501150213e-07	1.0000003385357559e-06
3.940003807656467e-07	3.1400031730299816e-07	3.5199991543777287e-07	1.99999976757681e-06
3.9799942896934226e-07	3.360000846441835e-07	3.380000634933822e-07	9.99999883788405e-07
6.84000042383559e-07	4.850007826462388e-07	4.1300063458038494e-07	4.999999873689376e-06
4.2200008465442806e-07	3.229997673770413e-07	3.5399989428697154e-07	1.0000003385357559e-06
4.0899976738728583e-07	3.8599955587415025e-07	4.080002327100374e-07	9.99999883788405e-07
3.880004442180507e-07	3.499999365885742e-07	3.8300004234770313e-07	2.000000222324161e-06
4.000003173132427e-07	3.420000211917795e-07	3.4799995773937553e-07	9.99999883788405e-07
3.9499991544289514e-07	3.210006980225444e-07	3.3599917514948174e-07	9.99999883788405e-07
3.7500012695090845e-07	3.6499932321021333e-07	3.390005076653324e-07	2.000000222324161e-06
4.049998096888885e-07	3.6400069802766666e-07	3.440000000409782e-07	9.99999883788405e-07
3.839995770249516e-07	3.130007826257497e-07	3.5999983083456755e-07	1.99999976757681e-06
4.0699978853808716e-07	3.3500054996693507e-07	3.0699993658345193e-07	1.0000003385357559e-06
3.940003807656467e-07	3.4900040191132575e-07	3.300001480965875e-07	9.99999883788405e-07
4.029998308396898e-07	3.079994712607004e-07	3.4900040191132575e-07	2.000000222324161e-06
3.880004442180507e-07	3.2199932320509106e-07	3.450004442129284e-07	0.0
3.9200040191644803e-07	3.289997039246373e-07	3.319992174510844e-07	1.99999976757681e-06
4.749999789055437e-07	3.7400059227366e-07	3.559998731361702e-07	3.999999989900971e-06
5.640004019369371e-07	3.579998519853689e-07	3.6300025385571644e-07	3.999999989900971e-06
4.080002327100374e-07	3.2900061341933906e-07	3.320001269457862e-07	2.000000222324161e-06
3.880004442180507e-07	3.4300046536372975e-07	3.7399968277895823e-07	9.99999883788405e-07
3.7500012695090845e-07	3.210006980225444e-07	3.209997885278426e-07	9.99999883788405e-07
4.030007403343916e-07	3.3699961932143196e-07	3.320001269457862e-07	2.000000222324161e-06
3.8400048651965335e-07	3.450004442129284e-07	3.360000846441835e-07	1.99999976757681e-06
4.0700069803278893e-07	2.9600050766021013e-07	3.790000846493058e-07	1.0000003385357559e-06
3.80000528821256e-07	3.3100059226853773e-07	3.4300046536372975e-07	9.99999883788405e-07
3.7999961932655424e-07	3.420000211917795e-07	3.320001269457862e-07	3.000000106112566e-06
3.929999365936965e-07	3.209997885278426e-07	3.209997885278426e-07	2.000000222324161e-06
3.759996616281569e-07	3.3899959817063063e-07	3.8100006349850446e-07	2.000000222324161e-06
4.1600014810683206e-07	3.1299987313104793e-07	3.7399968277895823e-07	1.0000003385357559e-06
8.659999366500415e-07	3.120003384537995e-07	3.819995981757529e-07	1.0000003385357559e-06
1.1449992598500103e-06	6.130003384896554e-07	4.140001692576334e-07	2.100000028804061e-05
4.990006345906295e-07	3.300001480965875e-07	3.670002115541138e-07	1.99999976757681e-06
4.0899976738728583e-07	3.3100059226853773e-07	3.970008037867956e-07	1.0000003385357559e-06
3.8100006349850446e-07	3.390005076653324e-07	3.4900040191132575e-07	2.000000222324161e-06
3.819995981757529e-07	3.469995135674253e-07	3.2800016924738884e-07	9.99999883788405e-07
4.150006134295836e-07	2.9599959816550836e-07	3.2199932320509106e-07	9.99999883788405e-07
4.379999154480174e-07	3.2000025385059416e-07	3.2800016924738884e-07	1.99999976757681e-06
4.900002750218846e-07	3.6599976738216355e-07	3.3700052881613374e-07	1.99999976757681e-06
