T_insertion	T_quick	T_merge	T_heap
9.5367431640625e-07	0.0	0.0	1.1999999969702912e-05
9.5367431640625e-07	0.0	0.0	3.999999989900971e-06
9.5367431640625e-07	0.0	0.0	6.999999641266186e-06
2.86102294921875e-06	1.1920928955078125e-06	0.0	5.999999757477781e-06
2.1457672119140625e-06	0.0	0.0	7.999999979801942e-06
1.9073486328125e-06	0.0	9.5367431640625e-07	3.999999989900971e-06
9.5367431640625e-07	9.5367431640625e-07	9.5367431640625e-07	3.000000106112566e-06
1.1920928955078125e-06	0.0	0.0	7.999999979801942e-06
9.5367431640625e-07	0.0	0.0	6.000000212225132e-06
9.5367431640625e-07	0.0	0.0	5.000000328436727e-06
1.1920928955078125e-06	0.0	1.1920928955078125e-06	4.999999873689376e-06
9.5367431640625e-07	0.0	0.0	6.999999641266186e-06
9.5367431640625e-07	0.0	0.0	7.999999979801942e-06
2.1457672119140625e-06	0.0	0.0	5.000000328436727e-06
1.6689300537109375e-06	9.5367431640625e-07	0.0	3.000000106112566e-06
9.5367431640625e-07	7.152557373046875e-07	0.0	4.999999873689376e-06
9.5367431640625e-07	0.0	0.0	7.000000096013537e-06
2.1457672119140625e-06	0.0	0.0	7.000000096013537e-06
2.1457672119140625e-06	0.0	0.0	6.999999641266186e-06
7.152557373046875e-07	9.5367431640625e-07	0.0	6.999999641266186e-06
2.1457672119140625e-06	0.0	0.0	7.000000096013537e-06
9.5367431640625e-07	0.0	0.0	6.000000212225132e-06
1.1920928955078125e-06	0.0	0.0	7.999999979801942e-06
1.1920928955078125e-06	0.0	9.5367431640625e-07	5.000000328436727e-06
2.1457672119140625e-06	0.0	0.0	7.999999979801942e-06
1.9073486328125e-06	9.5367431640625e-07	0.0	1.5999999959603883e-05
9.5367431640625e-07	0.0	0.0	6.000000212225132e-06
9.5367431640625e-07	0.0	0.0	7.000000096013537e-06
9.5367431640625e-07	3.0994415283203125e-06	0.0	4.999999873689376e-06
2.1457672119140625e-06	9.5367431640625e-07	0.0	2.9999999696883606e-05
9.5367431640625e-07	0.0	7.152557373046875e-07	6.000000212225132e-06
9.5367431640625e-07	0.0	0.0	6.000000212225132e-06
2.1457672119140625e-06	0.0	0.0	5.999999757477781e-06
9.5367431640625e-07	0.0	9.5367431640625e-07	6.999999641266186e-06
1.1920928955078125e-06	9.5367431640625e-07	0.0	7.000000096013537e-06
2.1457672119140625e-06	0.0	0.0	4.999999873689376e-06
1.1920928955078125e-06	9.5367431640625e-07	0.0	6.000000212225132e-06
1.6689300537109375e-06	9.5367431640625e-07	0.0	5.999999757477781e-06
2.1457672119140625e-06	0.0	0.0	7.000000096013537e-06
9.5367431640625e-07	0.0	0.0	5.000000328436727e-06
7.152557373046875e-07	0.0	9.5367431640625e-07	5.000000328436727e-06
1.1920928955078125e-06	0.0	9.5367431640625e-07	6.000000212225132e-06
1.1920928955078125e-06	0.0	0.0	5.999999757477781e-06
2.1457672119140625e-06	0.0	0.0	7.000000096013537e-06
9.5367431640625e-07	0.0	0.0	8.000000434549293e-06
2.1457672119140625e-06	0.0	0.0	3.000000106112566e-06
1.1920928955078125e-06	0.0	0.0	5.999999757477781e-06
9.5367431640625e-07	9.5367431640625e-07	0.0	7.000000096013537e-06
2.1457672119140625e-06	0.0	0.0	7.000000096013537e-06
2.1457672119140625e-06	0.0	0.0	3.100000003541936e-05
2.1457672119140625e-06	0.0	0.0	5.999999757477781e-06
1.1920928955078125e-06	0.0	0.0	6.999999641266186e-06
2.1457672119140625e-06	0.0	0.0	7.000000096013537e-06
9.5367431640625e-07	0.0	0.0	7.000000096013537e-06
2.1457672119140625e-06	0.0	9.5367431640625e-07	3.999999989900971e-06
2.1457672119140625e-06	0.0	0.0	4.999999873689376e-06
2.1457672119140625e-06	0.0	0.0	6.000000212225132e-06
1.9073486328125e-06	0.0	0.0	7.000000096013537e-06
1.9073486328125e-06	0.0	0.0	6.000000212225132e-06
1.1920928955078125e-06	0.0	0.0	7.000000096013537e-06
1.9073486328125e-06	0.0	9.5367431640625e-07	7.000000096013537e-06
9.5367431640625e-07	0.0	0.0	7.000000096013537e-06
0.0	0.0	0.0	6.000000212225132e-06
9.5367431640625e-07	0.0	0.0	4.999999873689376e-06
9.5367431640625e-07	0.0	0.0	7.999999979801942e-06
1.1920928955078125e-06	0.0	0.0	7.999999979801942e-06
9.5367431640625e-07	0.0	9.5367431640625e-07	1.99999976757681e-06
1.9073486328125e-06	0.0	0.0	7.000000096013537e-06
1.6689300537109375e-06	0.0	0.0	6.000000212225132e-06
9.5367431640625e-07	0.0	0.0	5.999999757477781e-06
9.5367431640625e-07	0.0	9.5367431640625e-07	6.000000212225132e-06
1.1920928955078125e-06	0.0	0.0	6.999999641266186e-06
9.5367431640625e-07	0.0	0.0	7.000000096013537e-06
9.5367431640625e-07	0.0	0.0	6.000000212225132e-06
9.5367431640625e-07	0.0	0.0	7.999999979801942e-06
1.6689300537109375e-06	0.0	0.0	6.000000212225132e-06
1.1920928955078125e-06	0.0	0.0	5.999999757477781e-06
9.5367431640625e-07	0.0	0.0	7.000000096013537e-06
9.5367431640625e-07	0.0	9.5367431640625e-07	3.999999989900971e-06
9.5367431640625e-07	0.0	0.0	4.999999873689376e-06
9.5367431640625e-07	0.0	0.0	7.000000096013537e-06
2.1457672119140625e-06	0.0	0.0	6.999999641266186e-06
2.1457672119140625e-06	0.0	0.0	4.999999873689376e-06
9.5367431640625e-07	9.5367431640625e-07	9.5367431640625e-07	7.000000096013537e-06
1.9073486328125e-06	1.1920928955078125e-06	0.0	7.999999979801942e-06
2.1457672119140625e-06	0.0	0.0	6.000000212225132e-06
1.1920928955078125e-06	0.0	0.0	7.999999979801942e-06
9.5367431640625e-07	0.0	0.0	5.999999757477781e-06
2.1457672119140625e-06	0.0	0.0	7.000000096013537e-06
9.5367431640625e-07	0.0	0.0	6.000000212225132e-06
1.9073486328125e-06	7.152557373046875e-07	1.1920928955078125e-06	6.000000212225132e-06
2.1457672119140625e-06	0.0	0.0	4.400000034365803e-05
1.1920928955078125e-06	0.0	0.0	6.000000212225132e-06
9.5367431640625e-07	0.0	0.0	8.999999863590347e-06
2.1457672119140625e-06	0.0	0.0	5.000000328436727e-06
2.1457672119140625e-06	0.0	0.0	5.999999757477781e-06
9.5367431640625e-07	0.0	0.0	6.999999641266186e-06
9.5367431640625e-07	0.0	0.0	5.999999757477781e-06
9.5367431640625e-07	0.0	7.152557373046875e-07	4.999999873689376e-06
1.1920928955078125e-06	0.0	1.1920928955078125e-06	7.999999979801942e-06
