T_insertion	T_quick	T_merge	T_heap
4.797400106326677e-06	4.45099976786878e-06	5.415800114860758e-06	5.999999757477781e-06
4.674799856729805e-06	4.378000085125677e-06	4.62200005131308e-06	7.000000096013537e-06
4.440199700184167e-06	4.38919996668119e-06	4.387000080896541e-06	7.000000096013537e-06
4.516799890552647e-06	4.600000102072954e-06	4.6754001232329754e-06	5.999999757477781e-06
4.478199844015762e-06	4.487999831326306e-06	4.5305998355615886e-06	8.999999863590347e-06
4.6764002036070455e-06	4.456199894775636e-06	4.390200047055259e-06	7.000000096013537e-06
4.499599890550599e-06	5.0293998356210064e-06	4.573399928631261e-06	6.999999641266186e-06
4.433800131664611e-06	4.523800089373253e-06	4.501000148593448e-06	6.999999641266186e-06
4.464200173970312e-06	4.4148000597488135e-06	4.598400118993596e-06	7.000000096013537e-06
4.525799886323511e-06	4.540400186670013e-06	4.589200034388341e-06	7.000000096013537e-06
5.5430002248613166e-06	4.4936001359019425e-06	4.526000338955782e-06	7.000000096013537e-06
4.527000055531971e-06	7.5937998190056534e-06	5.032199987908826e-06	5.999999757477781e-06
4.533400351647288e-06	4.607200025930069e-06	4.817599983653054e-06	7.000000096013537e-06
4.706199979409575e-06	4.860600165557117e-06	4.525999975157901e-06	5.999999757477781e-06
5.973600127617828e-06	4.759399962495081e-06	4.4242002331884574e-06	7.999999979801942e-06
4.597800216288306e-06	4.507800258579664e-06	4.532200182438828e-06	6.000000212225132e-06
5.334000161383301e-06	4.629199975170195e-06	4.473200169741176e-06	6.000000212225132e-06
4.523399911704473e-06	4.428600004757755e-06	2.101259997289162e-05	7.000000096013537e-06
4.535600237431936e-06	4.4161999539937826e-06	4.611400072462857e-06	5.999999757477781e-06
4.522400195128284e-06	4.751199958263896e-06	5.1439998060232025e-06	8.000000434549293e-06
6.060200030333363e-06	4.936800178256817e-06	4.421400080900639e-06	5.999999757477781e-06
4.795599670615047e-06	4.706999970949255e-06	4.734400135930628e-06	7.000000096013537e-06
4.8816000344231725e-06	1.6352399688912557e-05	4.707200059783645e-06	7.999999979801942e-06
4.534199979389086e-06	5.976400279905647e-06	4.445800004759803e-06	6.000000212225132e-06
4.4596003135666255e-06	4.439000258571469e-06	1.0970199946314097e-05	5.999999757477781e-06
4.630399780580774e-06	4.4720000005327165e-06	4.442600038601086e-06	7.000000096013537e-06
4.4611999328481035e-06	4.671399801736698e-06	4.6649998694192615e-06	1.900000006571645e-05
4.473800072446466e-06	4.537200220511295e-06	4.511999941314571e-06	8.999999863590347e-06
4.579600135912187e-06	4.632399941328913e-06	4.696199903264642e-06	1.0000000202126103e-05
4.459200135897845e-06	8.339600026374682e-06	4.598600207827986e-06	8.999999863590347e-06
5.358800262911245e-06	4.409599932841957e-06	1.1215799895580858e-05	7.999999979801942e-06
4.566400093608536e-06	1.844180005718954e-05	4.486200123210438e-06	6.000000212225132e-06
4.662600258598104e-06	4.5174001570558175e-06	4.414399882080033e-06	7.000000096013537e-06
4.704199818661437e-06	4.451000131666661e-06	4.553400140139275e-06	7.000000096013537e-06
4.861400157096796e-06	4.495199755183421e-06	6.1803999415133145e-06	7.000000096013537e-06
4.57660025858786e-06	4.580199674819596e-06	4.523600000538863e-06	5.999999757477781e-06
4.611199983628467e-06	4.601399996317923e-06	4.6432000090135265e-06	7.999999979801942e-06
4.531800004770048e-06	5.272400085232221e-06	4.519199865171686e-06	8.999999863590347e-06
4.521599839790724e-06	4.490600258577615e-06	4.540400186670013e-06	6.999999641266186e-06
4.576199717121199e-06	4.8147998313652355e-06	4.770200030179695e-06	1.900000006571645e-05
4.598800296662376e-06	4.660799822886474e-06	4.8949998017633335e-06	1.5000000075815478e-05
4.567599899019115e-06	4.57560017821379e-06	4.906000322080218e-06	7.999999979801942e-06
1.294980029342696e-05	4.695000097854063e-06	4.794200140167959e-06	7.999999979801942e-06
4.617999729816802e-06	4.833200000575743e-06	4.580600216286257e-06	4.999999873689376e-06
4.560399975161999e-06	4.5052001951262355e-06	4.476200047065504e-06	4.999999873689376e-06
4.508999700192362e-06	4.389399691717699e-06	4.74419975944329e-06	7.000000096013537e-06
4.454399822861888e-06	4.4489999709185215e-06	4.4958000216865915e-06	7.999999979801942e-06
4.682000144384801e-06	4.365399945527315e-06	4.45180012320634e-06	4.999999873689376e-06
4.543400063994341e-06	1.23464000353124e-05	4.438200267031789e-06	6.999999641266186e-06
4.5408000005409125e-06	4.627800080925226e-06	4.536399865173735e-06	7.999999979801942e-06
4.665600135922432e-06	4.418800017447211e-06	4.4383999920682985e-06	5.999999757477781e-06
4.701599755208008e-06	4.7336001443909485e-06	4.555199848255143e-06	6.000000212225132e-06
4.6553999709431085e-06	5.959600093774497e-06	4.526199700194411e-06	7.000000096013537e-06
2.728059989749454e-05	5.001199679099955e-06	4.77700014016591e-06	6.999999641266186e-06
9.403000149177387e-06	4.638599784811959e-06	4.670799899031408e-06	3.199999991920777e-05
8.970599810709246e-06	4.887800241704099e-06	5.423599941423163e-06	7.000000096013537e-06
4.6314002247527245e-06	1.1914599963347427e-05	4.4723998144036156e-06	6.999999641266186e-06
4.767999780597165e-06	4.785399869433604e-06	4.673200237448327e-06	4.999999873689376e-06
4.748200080939569e-06	9.97280003502965e-06	4.49740000476595e-06	7.999999979801942e-06
5.263999992166646e-06	4.5174001570558175e-06	4.553400140139275e-06	1.0000000202126103e-05
4.511400038609281e-06	4.538400025921873e-06	4.441199780558236e-06	6.000000212225132e-06
5.930800034548156e-06	4.449799962458201e-06	4.479600102058612e-06	5.999999757477781e-06
4.41960000898689e-06	1.0023199865827338e-05	4.480400093598291e-06	4.999999873689376e-06
4.499599890550599e-06	4.639400140149519e-06	4.812200131709687e-06	6.000000212225132e-06
4.6306002332130445e-06	4.488199920160696e-06	4.666799941333011e-06	7.000000096013537e-06
4.472600267035887e-06	4.613000055542216e-06	4.496399924391881e-06	7.000000096013537e-06
4.548599827103317e-06	4.434400034369901e-06	4.608400195138529e-06	6.000000212225132e-06
4.9277998186880724e-06	4.844599970965646e-06	4.849000106332824e-06	7.000000096013537e-06
4.459599949768744e-06	7.892200301284902e-06	1.1659200026770122e-05	7.000000096013537e-06
4.537199856713414e-06	4.4364001951180395e-06	4.459199772099964e-06	7.000000096013537e-06
5.483999848365783e-06	4.617000013240613e-06	5.004000195185654e-06	2.099999983329326e-05
7.327200000872835e-06	4.398200326249935e-06	9.996199878514744e-06	6.000000212225132e-06
4.476600224734284e-06	4.556000203592703e-06	4.645200169761665e-06	7.000000096013537e-06
4.4950000301469116e-06	1.4087800082052127e-05	4.580000313580967e-06	4.999999873689376e-06
4.771000021719374e-06	4.572800025925971e-06	4.534399704425596e-06	4.999999873689376e-06
4.569200245896354e-06	4.91579994559288e-06	5.283399877953343e-06	7.999999979801942e-06
1.149400013673585e-05	5.049399987910874e-06	4.818600064027123e-06	3.999999989900971e-06
4.516400076681748e-06	4.684399755205959e-06	1.24991998745827e-05	1.1999999969702912e-05
4.68340003862977e-06	4.770400119014085e-06	4.659999831346795e-06	1.1999999969702912e-05
1.1487800293252803e-05	4.596399958245456e-06	4.623799759428948e-06	7.000000096013537e-06
4.5747998228762295e-06	4.377000004751608e-06	4.738800271297805e-06	7.000000096013537e-06
4.487600017455407e-06	4.4722000893671066e-06	4.4503998651634905e-06	7.000000096013537e-06
4.564000118989498e-06	4.507999983616174e-06	4.538000212050974e-06	7.000000096013537e-06
9.78600000962615e-06	4.416999945533462e-06	4.544999683275819e-06	7.999999979801942e-06
4.501199873629957e-06	4.646399975172244e-06	4.441399869392626e-06	7.999999979801942e-06
5.5420001444872465e-06	4.702399746747688e-06	4.6410001232288774e-06	1.5000000075815478e-05
1.0015999941970222e-05	4.764799814438447e-06	4.521400114754215e-06	6.000000212225132e-06
4.54479995823931e-06	8.35799983178731e-06	4.62320022052154e-06	7.000000096013537e-06
4.48099999630358e-06	9.73819987848401e-06	4.5397999201668425e-06	4.999999873689376e-06
4.560800152830779e-06	4.610600080923178e-06	4.475000241654925e-06	5.000000328436727e-06
1.0120200022356584e-05	4.4936001359019425e-06	4.592600089381449e-06	7.999999979801942e-06
